Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"Fuente de Poder EVGA 700-K1 80 PLUS Bronze, ATX, 120mm, 700W",100-BR-0700-K1,"$1,810.00","$1,439.00",$99.00,110
"Tarjeta de Video ASRock AMD Radeon RX 6650 XT Challenger D OC, 8GB 128-Bit GDDR6, PCI Express 4.0 ― ¡Compra y llévate de regalo Starfield!",RX6650XT CLD 8GO,"$4,973.00","$4,379.00",$99.00,129
"Tarjeta Madre MSI Micro-ATX PRO B660M-A WIFI DDR4, S-1700, Intel B660, HDMI, 128GB DDR4 para Intel ― Requiere Actualización de BIOS para Procesadores Intel 13va. Generación",PRO B660M-A WIFI DDR4,"$2,209.00","$1,969.00",$99.00,80
"Gabinete Thermaltake S200 TG ARGB con Ventana, Midi-Tower, ATX/Micro ATX/Mini-ITX, USB 3.0, sin Fuente, 3 Ventiladores Instalados ARGB, Negro",CA-1X2-00M1WN-00,"$1,299.00","$1,139.00",$149.00,24
"Epson TM-T20III Impresora de Tickets, Térmico, 203 x 203DPI, Serial/USB, Negro",C31CH51001,"$4,155.00","$3,769.00",$99.00,254
"Procesador Intel Core i3-12100, S-1700, 3.30GHz, Quad-Core, 12MB Smart Cache (12va.  Generación - Alder Lake)",BX8071512100,"$2,379.00","$2,139.00",$99.00,58
"Monitor LG 20MK400H-B LED 19.5"", WXGA, 60Hz, HDMI, Negro",20MK400H-B,"$1,402.00","$1,239.00",$144.00,3
"Mouse Gamer Ocelot Gaming Óptico OGMM01, Alámbrico, USB A, 6400DPI, Negro",OGMM01,$249.00,$88.00,$99.00,92
"Mouse Gamer Ocelot Gaming Óptico OGEM02, Alámbrico, USB A, 2400DPI, Negro",OGEM02,$249.00,$87.00,$99.00,348
"Mouse Gamer Ocelot Gaming Óptico OGMM03, Alámbrico, USB A, 3200DPI, Negro/Rosa",OGMM03,$219.00,$94.00,$99.00,179
"Mouse Gamer Ocelot Gaming Óptico OGEM01, Alámbrico, USB A, 2400DPI, Negro",OGEM01,$249.00,$103.00,$99.00,93
"SSD Kingston A400, 120GB, SATA III, M.2",A400M8/120G,$568.00,$306.00,$99.00,2
"X-Case Caja ACCREDKE10, 1x RJ-45, 10 Piezas",ACCREDKE10,$365.00,$42.00,$99.00,5
"Memoria RAM Adata AD5U48008G-S DDR5, 4800MHz, 8GB, ECC, CL40",AD5U48008G-S,"$1,014.00",$442.00,$99.00,4
"SSD Western Digital WD_Black SN770 NVMe, 1TB, PCI Express 4.0, M.2",WDS100T3X0E,"$1,767.00","$1,039.00",$99.00,37
"Mouse Gamer Logitech Óptico G203 LightSync, Alámbrico, USB, 8000DPI, Lila",910-005852,$501.00,$302.00,$99.00,4
"Ocelot Gaming Audífonos Gamer OGMH01 Alámbrico, 2.2 Metros, 3.5mm/USB, Negro",OGMH01,$441.00,$192.00,$99.00,2498
"Mouse Gamer Ocelot Gaming Óptico White Pearl, Alámbrico, USB, 7200DPI, Blanco",OCM WHITE PEARL,$299.00,$156.00,$99.00,1536
"Ocelot Gaming Audífonos Gamer OGMH02, Alámbrico, 2.2 Metros, 3.5mm/USB, Negro",OGMH02,$387.00,$214.00,$99.00,686
"Cinta Zebra Ribbon Resin 5095, 4.33'' x 110mm, 6 Piezas",05095BK11045,"$6,999.00","$1,179.00",$99.00,36
"Router ASUS Gigabit Ethernet de Banda Dual RT-AC66U B1 AC1750 para Gaming con AiMesh, Inalámbrico, 1300 Mbit/s, 4x RJ-45, 2.4/5GHz, 3 Antenas",90IG0300-BA1000,"$1,908.00","$1,099.00",$99.00,225
"Memoria RAM HPE DDR4, 2933MHz, 32GB, CL21, Registered (Buffered)",P00924-B21,"$18,859.00","$8,309.00",$99.00,12
"Teclado Logitech K480 Multiplataforma, Inalámbrico, Bluetooth, Negro (Español)",920-006346,"$1,016.00",$569.00,$99.00,11
"Panduit Módulo Ciego Gris, Paquete de 10 Piezas",CMBIG-X,$163.00,$21.00,$99.00,3
"SSD Western Digital WD Blue SA510, 250GB, SATA III, 2.5'', 7mm",WDS250G3B0A,$750.00,$416.00,$99.00,33
"Mouse Logitech Óptico M185, Inalámbrico, USB, 1000DPI, Azul",910-002236,$296.00,$130.00,$99.00,872
"Teclado Gamer Ocelot Gaming OGMK02 RGB, Teclado Mecánico, Switch Azul, Alámbrico, Negro (Español)",OGMK02,$464.00,$305.00,$99.00,3355
"SSD Western Digital WD Black SN850, 500GB, PCI Express 4.0, M.2, NVMe",WDS500G1X0E,"$1,765.00",$949.00,$99.00,11
"Jabra Cable GN1216 Avaya, QD Macho - RJ-9 Macho, 80cm, Negro",88001-04,$729.00,$119.00,$99.00,216
"Mouse Gamer Cougar Óptico MINOS XT, Alámbrico, USB, 4000DPI, Negro",3MMXTWOB.0001,$561.00,$293.00,$99.00,3
